Year,Month,Day_Of_Month,Day_Of_Week,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,
2009,3,25,4,29.1877193,28.68070175,28.50350877,28.78070175,29.97368421,34.85263158,39.4877193,38.80877193,40.20526316,40.28070175,41.09649123,40.80526316,40.58947368,39.81929825,40.00701754,40.61929825,41.04736842,40.51578947,42.63333333,42.98947368,40.09298246,36.60877193,33.53859649,31.26315789,
2009,3,24,3,29.55789474,28.81403509,28.78070175,28.98947368,30.29122807,34.92280702,39.27192982,39.01578947,39.98321637,39.57719298,40.19122807,40.34035088,40.1245614,39.66842105,40.1122807,40.31754386,40.27719298,40.59649123,42.27368421,43.23157895,40.20175439,36.3754386,32.76842105,30.20175439,
2009,3,23,2,26.14210526,25.7,25.94210526,26.07894737,27.56140351,32.65263158,38.05789474,38.12017544,39.13508772,39.74561404,40.28245614,40.16491228,39.71929825,39.53508772,39.6245614,40.04035088,40.07368421,39.68596491,42.13140351,42.88377193,39.76508772,36.4,32.14385965,30.08596491,
2009,3,22,1,26.14210526,25.3,24.95614035,24.03508772,24.91578947,25.78245614,27.60350877,31.51403509,35.08245614,35.86491228,35.60877193,35.51754386,34.77894737,33.47017544,32.0254386,31.50438596,31.71929825,32.50701754,36.09473684,38.72280702,35.88421053,32.2,29.27017544,27.12280702,
2009,3,21,7,28.20701754,27.74385965,26.72631579,26.94736842,27.43333333,27.77894737,30.05438596,33.37719298,36.41403509,37.00175439,36.62280702,35.98596491,35.43333333,34.43684211,33.29122807,32.54035088,32.64385965,33.56842105,36.36140351,38.27192982,35.23859649,32.34035088,29.96666667,27.38245614,
2009,3,20,6,28.73684211,28.4245614,28.26666667,28.55614035,29.98070175,34.6745614,39.77368421,39.71432749,40.85789474,40.74561404,41.33508772,40.8245614,39.92280702,39.08070175,38.63859649,38.39824561,38.50877193,38.82807018,39.99298246,41.13859649,38.6122807,34.80350877,31.73684211,29.44736842,
2009,3,19,5,28.30175439,28.11929825,27.76666667,27.77719298,29.30877193,33.86491228,39.32280702,39.24561404,40.35789474,40.22807018,40.78070175,40.53333333,40.09122807,39.31754386,39.35263158,39.98070175,40.1754386,40.6245614,42.02807018,42.7877193,39.85614035,36.01754386,32.21929825,30.05087719,
2009,3,18,4,28.67719298,28.26842105,27.84736842,28.01052632,29.24561404,33.98421053,39.48596491,39.10877193,40.18947368,40.24385965,40.69473684,40.27894737,39.96666667,39.40526316,39.40175439,40,40.4122807,40.70526316,42.47368421,42.56666667,39.55438596,35.73684211,31.89649123,29.58596491,
2009,3,17,3,28.35789474,28.0754386,27.89824561,28.06140351,29.45438596,34.30175439,39.21403509,38.57017544,39.52105263,39.41929825,40.26140351,40.09122807,39.68070175,39.17192982,39.49473684,40.07017544,40.29649123,40.36140351,41.69649123,42.20526316,39.37368421,35.50350877,31.77192982,29.5877193,
2009,3,16,2,26.19298246,25.68421053,25.8877193,26.07894737,27.79649123,32.63157895,37.84561404,37.57368421,39.11929825,39.16666667,40.00350877,40.21052632,39.90701754,39.32982456,39.53859649,39.95789474,40.09824561,39.75789474,41.32807018,42.27017544,39.61754386,35.7245614,31.78421053,29.47017544,
2009,3,15,1,26.95087719,26.34912281,26.08245614,25.94561404,25.82105263,26.32807018,27.87368421,31.64736842,35.10175439,36.06315789,36.13508772,35.93596491,35.28596491,33.9,32.68245614,32.10877193,32.53333333,33.50526316,36.0122807,38.52280702,35.84561404,32.22105263,28.83859649,26.83333333,
2009,3,14,7,29.09473684,28.23333333,27.8122807,27.91052632,28.02280702,28.9754386,31.19649123,34.71929825,38.14035088,38.44561404,38.30877193,37.78596491,37.33508772,36.36666667,35.14736842,34.65087719,34.8,35.84210526,37.68421053,38.68245614,36.02982456,33.18421053,30.74385965,28.40877193,
2009,3,13,6,29.86140351,29.08070175,28.83859649,29.09473684,30.54561404,34.95614035,39.88947368,39.76491228,40.83333333,41.12631579,41.66929825,41.47894737,40.90350877,39.77368421,39.48070175,39.20350877,38.96842105,38.81403509,39.90877193,41.20175439,38.58421053,35.22982456,32.46315789,30.13684211,
2009,3,12,5,29.55964912,28.93333333,28.60175439,28.57719298,30.17368421,34.69473684,39.52807018,38.95614035,40.22807018,40.10701754,40.95789474,40.79473684,40.72631579,40.16842105,40.27368421,40.72280702,40.97017544,40.55263158,42.28596491,43.32280702,40.29649123,36.5,32.76140351,30.90350877,
2009,3,11,4,29.41929825,28.81929825,28.82807018,28.9877193,30.41403509,35.11578947,39.94385965,39.39473684,40.45087719,40.44561404,41.03684211,41.07192982,40.61929825,40.41578947,40.40175439,41.19298246,41.38596491,41.19473684,42.39298246,43.5,40.80877193,36.9754386,33.16315789,30.81403509,
2009,3,10,3,29.12105263,28.54736842,28.34385965,28.56666667,30.14035088,34.76842105,39.64736842,38.62982456,39.54736842,39.39649123,40.43684211,40.28596491,40.14210526,39.65263158,39.88596491,40.66666667,41.3245614,41.25438596,42.66315789,43.12631579,40.45614035,36.76140351,32.9245614,30.70701754,
2009,3,9,2,26.06315789,25.86666667,25.88596491,25.96842105,27.35087719,32.00350877,37.55964912,37.67631579,39.53859649,40.20350877,41.12631579,41.04736842,40.7122807,40.16491228,40.39473684,40.68596491,40.69122807,40.89649123,42.10584795,43.06257311,40.33508772,36.32982456,32.7754386,30.3754386,
2009,3,8,1,26.53508772,25.65789474,25.17719298,25.25614035,25.35964912,26.09473684,27.85263158,31.46842105,34.68070175,35.40526316,35.49473684,35.45263158,35.45263158,33.7245614,32.81754386,32.24912281,32.63508772,33.2122807,35.62807018,38.45087719,36.05789474,32.1245614,29.34385965,27.60175439,
2009,3,7,7,29.26666667,28.41578947,28.22807018,28.46315789,28.22807018,29.47017544,31.56140351,34.84035088,37.63684211,38.13508772,37.92807018,37.3245614,37.05087719,36.51929825,34.72280702,34.47894737,34.71403509,34.80526316,36.7,38.7877193,36.78245614,33.40877193,30.37719298,28.09298246,
2009,3,6,6,29.20701754,28.66842105,28.42807018,28.50584795,29.79766082,34.60690058,39.04561404,39.43947368,40.48421053,40.66315789,41.04561404,41.08596491,40.65789474,39.77719298,39.64035088,38.98362574,38.5754386,38.13859649,38.52982456,41.14912281,39.26842105,35.76491228,32.81052632,30.65964912,
2009,3,5,5,29.19298246,28.14385965,28.21929825,28.18421053,29.86140351,34.55438596,39.13859649,38.54298246,39.57368421,39.45263158,40.4754386,40.09824561,39.51578947,39.45087719,39.73333333,39.91052632,39.94736842,39.74736842,40.20877193,43.0245614,40.45730995,36.16842105,32.92631579,30.59649123,
2009,3,4,4,28.52982456,27.96315789,27.96140351,28.17719298,29.75614035,34.15964912,38.59473684,38.36140351,39.59649123,39.45146198,39.8754386,40.22807018,39.58421053,38.99473684,39.25964912,40.17719298,40.18245614,39.94912281,40.5245614,42.7245614,40.35614035,36.61578947,32.86666667,30.42105263,
2009,3,3,3,28.54912281,28.04912281,27.59298246,27.62982456,28.99298246,33.75263158,38.3,37.62105263,38.73947368,38.70350877,39.23333333,39.36140351,38.98070175,38.4877193,38.89122807,39.53508772,39.78421053,39.14561404,40.17192982,42.2,39.74210526,36.2122807,31.77368421,29.61578947,
2009,3,2,2,25.16140351,24.84035088,24.84736842,25.13508772,26.34210526,31.36666667,36.12280702,36.45087719,38.06491228,38.40350877,39.00526316,38.77719298,38.63684211,38.14736842,38.43157895,38.68947368,38.5754386,38.47192982,39.07719298,41.86140351,40.05087719,35.85263158,31.65614035,29.30877193,
2009,3,1,1,25.74912281,24.85438596,24.67017544,24.55263158,24.58421053,25.14035088,27.06842105,30.86315789,34.1245614,34.68596491,34.62807018,34.38070175,33.6,32.67719298,31.61052632,31.3754386,31.15087719,31.78421053,33.18596491,36.46491228,35.28596491,31.67368421,28.67368421,26.50526316,
2009,2,28,7,28.20701754,27.52105263,26.7754386,26.75438596,27.08596491,28.00175439,29.97719298,33.03508772,35.80701754,36.45263158,36.16842105,35.34736842,34.79473684,33.83333333,32.96315789,32.6245614,33.2,33.57017544,34.84912281,36.03333333,34.21403509,31.42631579,28.95964912,26.92807018,
2009,2,27,6,29.25789474,28.42105263,28.3122807,28.19473684,29.4877193,34.27192982,38.2754386,38.63333333,39.89298246,39.77192982,40.51052632,40.18245614,39.4754386,38.13742689,37.82982456,37.4134503,36.42222223,36.53157895,36.97105263,38.65614035,37.41578947,34.64561404,31.88421053,29.51578947,
2009,2,26,5,28.84736842,28.12280702,27.63157895,28.05087719,29.43859649,34.27192982,38.56491228,38.36666667,39.30877193,39.36842105,40.08596491,40.05087719,39.71578947,39.37368421,39.42280702,39.9754386,39.92280702,39.65438596,40.52982456,41.69649123,39.57368421,35.94385965,32.83508772,30.67368421,
2009,2,25,4,28.58596491,28.10350877,27.79824561,28.18070175,29.40526316,34.42105263,38.46315789,38.20526316,39.51842105,39.7754386,40.15614035,40.13333333,39.88070175,39.37017544,39.51403509,39.83508772,39.75263158,39.40526316,39.58421053,41.73157895,40.01052632,36.29824561,32.75263158,30.1754386,
2009,2,24,3,28.44385965,28.03508772,27.7245614,27.88421053,29.43157895,34.18070175,38.52280702,38.29298246,39.41578947,39.44561404,40.03479532,39.87368421,39.16929825,39.18596491,39.1754386,39.30526316,39.60701754,39.61052632,40.22807018,41.92105263,39.53684211,35.91052632,31.66140351,29.49649123,
2009,2,23,2,25.35263158,25.10175439,24.72105263,25.09473684,26.8,31.57017544,36.65964912,36.90350877,38.85964912,39.27719298,40.11929825,40.04561404,39.71403509,39.32280702,39.65964912,39.99824561,39.88596491,39.86666667,40.23859649,41.35263158,39.4245614,35.56491228,31.53333333,29.56315789,
2009,2,22,1,26.61052632,25.92105263,25.02280702,24.94035088,25.28070175,25.87192982,27.78596491,31.28245614,34.0877193,34.9877193,34.94385965,34.49298246,33.99473684,32.82280702,31.97017544,31.43684211,31.4122807,32.1245614,33.9,36.42280702,35.03508772,31.29824561,28.03684211,26.44561404,
2009,2,21,7,28.85263158,28.03157895,27.54912281,27.25087719,27.73859649,28.53859649,30.42280702,33.78421053,37.12807018,37.52982456,37.29298246,37.02982456,36.33859649,35.11052632,33.99649123,33.37192982,33.0245614,33.44912281,34.54912281,37.6122807,35.75614035,32.68245614,30.10175439,28.09473684,
2009,2,20,6,28.88596491,28.30175439,27.89032163,28.09122807,29.57719298,33.98809942,38.49824561,38.63333333,40.18421053,40.47192982,41.12105263,41.13684211,40.60175439,39.66491228,38.63859649,38.28070175,37.62105263,37.19649123,37.42982456,39.6754386,38.52280702,35.55964912,32.54035088,30.19122807,
2009,2,19,5,29.16491228,28.58070175,28.13157895,28.0245614,29.33333333,33.89649123,38.15789474,38.11929825,39.77719298,39.60350877,40.64561404,40.52280702,40.16666667,39.4,39.45438596,39.85964912,40.00175439,39.02982456,39.31929825,41.48245614,39.6122807,36,32.2122807,29.71578947,
2009,2,18,4,28.75263158,28.26491228,27.74736842,28.06842105,29.2877193,33.69298246,38.00877193,37.79298246,38.96140351,39.57719298,39.97017544,40.12280702,39.97894737,39.98947368,39.94385965,39.52982456,39.89298246,39.3,39.71929825,41.78421053,40.45087719,36.30701754,32.94210526,30.77017544,
2009,2,17,3,29.02105263,28.47017544,28.12280702,28.19122807,29.65789474,34.18421053,38.70175439,38.03333333,39.25263158,39.1,39.88947368,40.01578947,39.93684211,39.0245614,39.7754386,40.25438596,40.05614035,39.39298246,39.70877193,41.52631579,40.14385965,35.89824561,31.73508772,29.80350877,
2009,2,16,2,25.79824561,25.4122807,25.17894737,25.64035088,26.85789474,31.47368421,36.8245614,36.94561404,38.43859649,39.12280702,40.32807018,40.28947368,39.73508772,39.47192982,39.22631579,39.79649123,39.53859649,39.47368421,39.70175439,41.96140351,40.71754386,36.32105263,32.65263158,30.0122807,
